epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,7838.86,0.7993,1.15704,0.89827,0.98573,0,0.42789,0.45401,0.41597,0.28562,0.42482,0.44866,0.40445,0.23395,1.18215,1.69113,1.98116,1.30944,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7947.93,0.7961,1.14542,0.87274,0.98751,0,0.43306,0.5082,0.42154,0.29265,0.43186,0.49934,0.41631,0.24681,1.17003,1.7704,2.01378,1.30303,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,8053.63,0.79771,1.15639,0.87532,0.98292,0,0.42707,0.46887,0.41522,0.29129,0.42004,0.46129,0.41034,0.2398,1.18233,1.74605,2.0241,1.30268,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,8163.44,0.79937,1.13373,0.88603,0.98326,0,0.40351,0.51063,0.43836,0.29734,0.50671,0.43633,0.42732,0.24167,1.21154,1.71782,2.00521,1.32405,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,8278.09,0.78264,1.12504,0.85782,0.97528,0,0.39437,0.49269,0.43421,0.29465,0.38491,0.47078,0.41624,0.24064,1.20032,1.7408,2.03428,1.3173,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,8389.09,0.77766,1.10996,0.83356,0.98386,0,0.42803,0.49297,0.45954,0.30975,0.4316,0.49244,0.45335,0.25638,1.17817,1.77005,1.94695,1.29359,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8498.61,0.77878,1.13089,0.84296,0.97465,0,0.37069,0.52832,0.43795,0.286,0.42698,0.4282,0.41228,0.24007,1.19776,1.76575,2.05979,1.31851,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,8612.74,0.7856,1.13278,0.8376,0.97729,0,0.46543,0.4814,0.44356,0.3068,0.47558,0.46026,0.44227,0.257,1.17337,1.75538,1.95998,1.2922,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,8724.09,0.77084,1.11815,0.81283,0.96917,0,0.37424,0.50792,0.42007,0.28318,0.36674,0.49327,0.40812,0.23129,1.1843,1.80956,2.06973,1.297,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,8835.45,0.76519,1.11102,0.80966,0.96781,0,0.45713,0.44073,0.43493,0.28661,0.45129,0.43506,0.4211,0.23451,1.18824,1.79427,2.09693,1.29992,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
